cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,tar,met,age,sex,obese,,,,tar,met,age,sex,obese,,age(0/1),sex(0/1)
3020321,30,10,20,40,ot2,no,older,male,with,0,3020321,#NUM!,2,0,3,2,1,,1,1
3011000,30,10,20,40,ot1,with,any,any,any,0,3011000,88,1,1,0,0,0,,0,0
3011001,30,10,20,40,ot1,with,any,any,with,0,3011001,89,1,1,0,0,1,,0,0
3011010,30,10,20,40,ot1,with,any,female,any,0,3011010,90,1,1,0,1,0,,0,1
3011020,30,10,20,40,ot1,with,any,male,any,0,3011020,90,1,1,0,2,0,,0,1
3011011,30,10,20,40,ot1,with,any,female,with,0,3011011,91,1,1,0,1,1,,0,1
3011021,30,10,20,40,ot1,with,any,male,with,0,3011021,91,1,1,0,2,1,,0,1
3011100,30,10,20,40,ot1,with,younger,any,any,0,3011100,92,1,1,1,0,0,,1,0
3011101,30,10,20,40,ot1,with,younger,any,with,0,3011101,93,1,1,1,0,1,,1,0
3011110,30,10,20,40,ot1,with,younger,female,any,0,3011110,94,1,1,1,1,0,,1,1
3011120,30,10,20,40,ot1,with,younger,male,any,0,3011120,94,1,1,1,2,0,,1,1
3011111,30,10,20,40,ot1,with,younger,female,with,0,3011111,95,1,1,1,1,1,,1,1
3011121,30,10,20,40,ot1,with,younger,male,with,0,3011121,95,1,1,1,2,1,,1,1
3011300,30,10,20,40,ot1,with,older,any,any,0,3011300,92,1,1,3,0,0,,1,0
3011301,30,10,20,40,ot1,with,older,any,with,0,3011301,93,1,1,3,0,1,,1,0
3011310,30,10,20,40,ot1,with,older,female,any,0,3011310,94,1,1,3,1,0,,1,1
3011320,30,10,20,40,ot1,with,older,male,any,0,3011320,94,1,1,3,2,0,,1,1
3011311,30,10,20,40,ot1,with,older,female,with,0,3011311,95,1,1,3,1,1,,1,1
3011321,30,10,20,40,ot1,with,older,male,with,0,3011321,95,1,1,3,2,1,,1,1
3021000,30,10,20,40,ot2,with,any,any,any,0,3021000,#NUM!,2,1,0,0,0,,0,0
3021001,30,10,20,40,ot2,with,any,any,with,0,3021001,#NUM!,2,1,0,0,1,,0,0
3021010,30,10,20,40,ot2,with,any,female,any,0,3021010,#NUM!,2,1,0,1,0,,0,1
3021020,30,10,20,40,ot2,with,any,male,any,0,3021020,#NUM!,2,1,0,2,0,,0,1
3021011,30,10,20,40,ot2,with,any,female,with,0,3021011,#NUM!,2,1,0,1,1,,0,1
